"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D112","SOD323","504.685mil","433mil","504.685mil","433mil","458.425mil","433mil","B","180.00","1N4148"
"D111","DO214","577mil","956mil","577mil","956mil","577mil","1046.551mil","B","270.00","1N4007"
"D110","SOD323","504.685mil","209mil","504.685mil","209mil","550.945mil","209mil","B","360.00","1N4148"
"D109","INF-SOT89_N","770mil","731.992mil","770mil","794mil","829.055mil","732.976mil","B","90.00","MCR100-8"
"D108","DO214","1500mil","1045mil","1500mil","1045mil","1409.449mil","1045mil","B","360.00","S3M"
"D107","DO214","1270mil","1140mil","1270mil","1140mil","1270mil","1049.449mil","B","90.00","S3M"
"D106","SOD323","1150mil","775mil","1150mil","775mil","1150mil","821.26mil","T","90.00","16V"
"D105","ONSC-SMC-2-403-03_V","915mil","1265mil","915mil","1265mil","774.508mil","1265mil","T","360.00","P4SMA400A"
"D104","DO214","1500mil","1045mil","1500mil","1045mil","1590.551mil","1045mil","T","180.00","S3M"
"D103","DO214","1270mil","1140mil","1270mil","1140mil","1270mil","1230.551mil","T","270.00","S3M"
"D102","SOD323","690mil","686mil","690mil","686mil","736.26mil","686mil","T","360.00","8V2"
"D101","DO214","670mil","340mil","670mil","340mil","579.449mil","340mil","T","360.00","SMA"
"D100","DO214","95mil","1320mil","95mil","1320mil","95mil","1410.551mil","B","270.00","1N4007"
"C301","0603","4080mil","2110mil","4080mil","2110mil","4113.465mil","2110mil","B","180.00","50V"
"C300","0805","4080mil","2180mil","4080mil","2180mil","4117.401mil","2180mil","B","180.00","50V"
"C207","0805","2400mil","595mil","2400mil","595mil","2400mil","632.402mil","T","270.00","50V"
"C206","0603","2895mil","775mil","2895mil","775mil","2895mil","741.535mil","T","90.00","50V"
"C205","0603","2955mil","775mil","2955mil","775mil","2955mil","741.535mil","T","90.00","50V"
"C204","0603","2470mil","603.465mil","2470mil","603.465mil","2470mil","636.929mil","T","270.00","50V"
"C203","0603","2835mil","775mil","2835mil","775mil","2835mil","741.535mil","T","90.00","50V"
"C202","0603","1990mil","880mil","1990mil","880mil","1990mil","913.464mil","T","270.00","100nF"
"C201","0603","2305mil","905mil","2305mil","905mil","2305mil","938.464mil","T","270.00","100nF"
